SA1 (UR),Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
21004154007,24,15,12,20,23,23,31,33,39,25,29,25,30,3,3,28,96,470
21004154008,31,6,17,46,82,44,45,60,40,20,21,10,24,0,0,38,79,567
21004154009,20,15,24,57,68,54,35,38,52,37,21,9,16,9,6,50,41,564
21004154010,37,13,23,24,35,37,34,26,30,38,29,15,24,12,9,15,73,472
21004154011,34,9,25,34,32,23,28,43,47,20,23,16,18,3,0,17,77,456
21004154012,54,29,24,23,25,35,27,37,50,32,33,21,50,19,18,18,87,571
21004154013,11,4,5,4,6,6,4,11,11,7,8,4,3,0,7,29,38,148
21004154014,18,4,11,15,24,13,15,14,32,12,18,16,30,8,10,11,63,306
21004154015,56,26,19,15,18,37,19,34,30,24,23,27,50,13,23,19,149,595
21004154016,29,15,10,23,41,29,19,19,35,25,24,18,21,13,0,30,64,395
21004154017,46,8,14,21,23,30,39,46,64,70,47,42,61,11,10,25,181,731
21004154018,34,16,19,24,22,29,42,44,51,37,36,28,18,6,3,22,114,549
21004154019,33,16,10,26,14,22,20,38,39,33,30,20,23,3,0,25,106,474
21004154020,27,9,18,13,15,22,25,26,37,28,18,24,37,4,17,17,129,455
21004154021,24,4,6,18,23,25,14,28,20,17,9,10,10,0,0,22,50,293
21004154022,17,0,12,18,40,48,24,23,22,17,13,14,12,0,0,26,39,326
21004154023,15,6,6,49,47,41,31,42,21,21,17,12,4,5,10,49,27,409
21004154024,15,17,11,28,12,18,25,14,17,21,17,24,25,0,0,9,52,298
21004154025,34,18,20,22,50,44,32,30,65,39,32,25,31,0,4,14,107,577
21004154026,40,11,15,20,27,23,35,32,36,28,21,20,29,5,5,22,135,506
21004154027,25,5,20,19,34,36,24,31,37,24,17,9,16,4,3,11,62,380
21004154028,25,11,12,18,18,19,24,29,31,21,29,11,10,3,3,9,45,315
21004154029,25,9,8,5,10,14,24,13,31,25,38,20,29,0,4,3,82,341
21004154030,41,10,14,49,19,15,22,27,35,23,18,11,11,4,3,61,70,425
21004154031,20,3,15,22,50,26,27,28,29,18,10,5,17,0,0,121,31,416
21004154032,18,7,13,19,15,19,11,15,13,17,25,12,13,0,3,6,50,257
21004154033,28,8,11,43,19,23,26,26,48,32,29,25,18,0,9,34,63,432
21004154034,58,21,16,28,24,31,43,30,54,48,56,31,94,12,14,10,193,767
21004154101,37,17,18,25,24,28,29,33,57,33,23,16,17,0,3,20,81,461
21004154102,34,10,19,29,29,38,37,27,41,44,34,11,14,0,4,28,81,470
21004154103,13,6,11,12,9,28,20,30,36,24,29,26,30,5,0,11,80,377
21004154104,20,8,8,13,8,17,11,12,22,14,9,10,13,5,6,9,61,265
21004154105,36,10,17,15,21,21,24,22,45,36,29,20,47,7,11,18,104,491
21004154106,23,3,9,15,21,18,18,19,32,25,8,12,12,0,4,9,60,290
21004154107,30,10,11,21,20,20,36,52,55,52,40,11,39,5,4,35,190,621
21004154108,34,14,17,16,31,26,24,35,29,27,29,15,28,4,9,17,72,435
21004154109,29,14,18,26,32,27,29,57,51,49,25,27,25,3,5,18,132,563
21004154110,27,10,14,26,28,35,28,27,36,24,33,13,17,3,0,26,66,414
21004154111,26,9,16,25,22,16,23,26,30,16,21,9,21,3,0,14,52,316
21004154112,33,12,22,21,17,18,22,36,62,36,34,29,45,6,9,24,177,610
21004154113,17,15,14,24,24,17,18,24,23,12,9,8,20,0,6,32,30,302
21004154114,24,4,22,18,29,21,26,30,35,29,23,22,25,0,0,14,71,384
21004154115,31,9,19,20,15,21,24,20,25,17,21,12,14,3,5,22,48,321
21004154116,25,10,7,11,14,10,12,11,26,26,27,22,37,5,3,9,109,354
21004154117,29,9,21,41,20,34,31,39,50,28,19,18,21,0,7,26,106,493
21004154118,30,13,19,39,36,40,29,35,60,30,37,21,25,8,3,24,68,513
21004154119,22,16,7,18,12,25,22,28,36,35,24,17,28,6,13,10,102,415
21004154120,36,7,29,32,31,38,29,26,44,31,20,19,17,0,0,35,88,493
21004154121,35,16,18,22,21,20,28,36,36,33,27,22,38,8,11,9,43,404
21004154122,12,9,8,15,21,18,13,20,31,15,11,8,10,7,3,14,28,238
21004154123,20,11,12,21,15,26,32,13,24,27,26,24,36,8,11,5,49,356
21004154124,28,21,10,19,29,33,15,25,24,21,24,17,37,5,8,21,65,401
21004154125,41,21,22,42,32,13,33,46,42,48,41,21,50,9,16,14,96,592
21004154126,28,17,16,28,33,23,24,32,50,43,39,23,33,7,8,17,116,522
21005124201,39,10,46,66,45,43,61,46,59,32,23,9,11,0,4,60,72,639
21005124202,36,10,22,45,35,16,32,25,19,14,7,13,10,0,0,22,74,389
21005124203,40,14,30,69,40,46,33,35,34,17,15,12,7,4,0,29,90,512
21005124204,45,11,36,63,88,36,40,43,39,23,17,11,11,3,3,50,94,607
21005124205,63,25,44,59,72,44,52,52,55,36,17,13,15,0,3,86,168,803
21005124206,48,18,58,71,42,36,28,37,34,22,3,10,5,0,5,52,142,603
21005124207,34,16,25,43,51,42,33,45,43,16,9,6,8,0,0,42,101,529
21005124208,51,20,38,74,53,38,37,44,44,30,10,12,8,0,0,58,150,658
21005124209,49,11,36,52,51,44,44,32,24,19,8,7,8,0,6,70,123,595
21005124210,26,10,47,52,53,34,24,36,16,17,7,9,8,0,0,76,119,546
21005124211,32,5,19,46,40,22,12,32,28,13,9,0,3,0,0,89,119,474
21005124212,73,19,52,73,64,65,69,76,71,33,24,13,20,0,0,81,191,934
21005124213,55,29,27,38,47,32,47,67,44,29,11,10,7,3,4,45,152,650
21005124214,24,9,29,40,24,21,25,41,36,16,13,4,8,0,0,13,57,359
21005124215,66,12,35,64,60,72,57,66,59,39,26,24,25,5,0,38,124,765
21005124216,16,0,5,4,17,6,14,11,6,9,0,0,0,0,0,252,21,359
21005124217,18,10,17,32,22,19,11,23,17,15,5,4,4,0,0,40,59,297
21005124218,60,21,41,65,55,43,30,45,38,21,15,13,9,0,4,69,192,718
21005124219,18,10,28,42,29,19,12,7,7,0,0,0,0,0,0,81,131,394
21005124220,34,13,38,49,54,44,22,24,15,7,15,12,5,0,5,25,87,449
21005124221,28,23,33,21,28,24,17,19,21,10,6,4,0,0,0,30,66,336
21005124222,50,13,50,48,36,29,27,33,30,11,11,0,4,0,0,23,99,468
21005124223,8,0,25,19,14,0,16,10,0,0,5,5,0,0,0,14,49,173
21005124224,37,22,34,50,46,28,20,36,31,11,14,8,10,0,0,47,107,509
21005124225,57,18,35,52,50,27,29,32,31,30,14,4,8,0,0,54,173,618
21005124226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21005124227,34,6,20,30,29,26,16,19,17,9,11,3,5,0,0,28,45,284
21005124301,43,7,33,37,41,22,37,25,26,10,4,0,6,0,0,20,91,412
21005124302,24,7,14,26,14,15,13,7,17,7,4,0,6,0,0,14,36,206
21005124303,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,13,40
21005124304,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,9
21005124305,14,0,3,12,9,12,12,22,26,22,0,7,4,0,0,37,6,192
21005124306,40,10,37,57,42,26,23,30,30,15,12,3,5,0,0,36,86,462
21005124307,19,10,20,25,15,16,4,17,8,4,4,0,4,0,0,17,45,209
21005124308,12,9,8,42,29,20,14,18,12,9,4,3,3,0,0,29,33,259
21005124309,36,5,22,60,34,25,21,18,16,16,12,8,3,0,0,20,75,365
21005124310,36,16,30,65,26,20,15,30,20,20,7,4,4,0,4,18,82,396
21005124311,30,5,27,32,19,13,16,22,8,9,8,0,7,0,0,25,76,299
21005124312,46,17,34,60,37,30,33,30,21,16,7,4,0,0,0,38,124,486
21005124313,33,6,19,29,14,19,10,13,7,4,4,0,4,0,0,17,52,251
21005124314,54,15,46,68,52,30,24,38,38,21,16,8,10,5,0,56,159,635
21005124315,24,11,14,41,32,19,20,26,7,3,0,0,3,0,0,37,68,319
21005124316,20,5,8,36,34,11,12,18,6,8,0,0,0,0,0,10,46,220
21005124317,35,18,41,56,39,15,22,22,23,16,7,6,7,0,0,52,131,500
21005124318,34,7,34,68,55,20,30,24,25,15,7,4,11,4,0,35,142,520
21005124319,34,17,38,55,42,20,15,28,14,18,12,3,4,0,0,15,100,418
21005124320,71,11,51,67,53,35,41,34,35,19,11,7,6,0,0,98,176,719
21005124321,36,7,26,80,48,35,25,32,23,20,13,13,8,0,4,59,99,531
21005124322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
21005124323,48,5,33,72,36,29,26,29,28,11,14,4,3,4,0,34,100,480
21005124324,47,12,21,34,20,20,23,19,23,12,9,0,9,0,3,19,95,372
21005124325,21,12,17,32,63,34,24,28,21,13,8,0,5,0,0,20,30,321
21005124326,22,3,28,52,39,20,26,17,27,11,6,0,4,0,0,29,98,381
21005124327,53,23,80,59,49,38,32,28,33,7,15,10,6,0,3,25,101,549
21005124328,41,18,45,50,26,34,18,25,18,3,4,6,4,4,0,31,103,435
21005124329,29,13,39,52,46,39,40,33,25,16,10,9,0,0,0,41,91,471
21005124330,27,10,15,37,27,16,18,22,18,5,8,0,4,4,0,16,56,292
21005124331,34,9,18,27,10,25,10,10,21,6,4,3,0,0,0,13,51,255
21005124332,35,7,14,21,11,14,19,11,8,5,4,3,5,0,0,13,47,211
21005124333,49,14,47,49,44,31,46,27,28,18,11,4,7,0,0,23,122,529
21005124334,44,9,39,32,28,17,15,23,12,9,5,5,6,0,0,21,110,391
21005124335,41,10,26,54,45,15,23,22,23,17,5,3,9,0,0,29,98,420
21005124336,52,20,31,55,40,28,15,25,25,14,5,3,5,0,5,51,142,515
21005124337,35,11,23,47,31,20,18,25,14,5,11,7,6,0,0,15,63,333
21005124338,27,5,19,30,32,22,19,14,18,5,5,0,0,0,0,24,41,254
21005124339,50,16,27,27,24,19,20,18,19,15,11,3,0,0,0,23,99,367
21005124340,70,13,27,41,37,24,19,21,26,23,15,4,6,0,0,31,119,472
21005124341,40,5,20,31,29,18,29,22,17,11,11,6,8,0,0,27,93,352
21005124342,28,8,17,30,24,16,17,19,10,4,0,0,0,0,0,26,55,255
21005124343,31,15,34,68,44,33,25,24,25,12,10,0,0,0,0,26,79,431
21005124344,34,21,19,46,25,19,11,16,3,5,10,0,7,0,0,19,62,307
21005124501,42,21,40,56,36,33,38,20,37,31,25,13,26,6,0,20,84,507
21005124502,30,4,17,33,23,25,23,21,34,25,17,18,21,3,0,16,74,392
21005124503,23,11,15,31,17,24,19,16,33,23,13,11,15,0,0,16,51,303
21005124504,23,8,15,32,17,13,11,15,20,23,29,8,13,0,3,7,49,285
21005124505,33,9,21,32,42,37,23,34,19,20,16,18,12,0,4,13,48,373
21005124506,36,9,25,35,31,18,25,25,27,22,20,15,21,3,4,15,103,436
21005124507,33,4,13,28,31,22,21,29,17,14,17,11,15,0,0,20,47,318
21005124508,34,14,26,50,33,33,18,31,35,26,20,21,17,0,0,24,101,482
21005124509,15,5,13,17,9,12,19,18,21,11,18,14,14,4,0,14,23,223
21005124510,22,9,14,26,27,23,25,30,26,29,21,13,26,3,3,21,48,361
21005124511,19,12,12,20,19,19,27,30,23,21,15,19,23,5,7,27,64,343
21005124512,37,10,9,18,13,21,17,17,28,20,21,6,12,0,3,23,46,298
21005124513,27,9,25,37,32,32,28,27,29,32,32,13,22,0,0,27,74,455
21005124514,43,25,28,38,41,36,30,47,47,39,31,20,22,8,0,36,85,579
21005124515,26,13,23,36,35,23,25,28,29,17,18,13,16,3,6,14,64,379
21005124516,24,15,11,25,27,19,15,19,17,15,13,14,5,0,3,15,55,289
21005124517,23,6,18,22,24,24,20,28,21,18,10,9,13,0,0,18,47,312
21005124518,22,16,26,47,34,28,18,30,19,18,14,19,13,0,0,29,59,394
21005124519,27,10,19,41,21,28,20,27,29,30,9,8,9,0,6,19,65,367
21005124520,19,13,8,12,11,13,15,12,11,9,4,4,11,5,6,12,62,230
21005124521,24,8,8,18,13,13,15,18,19,18,14,6,11,0,0,8,60,246
21005124522,12,4,17,20,9,14,8,18,11,13,8,6,8,0,0,3,41,198
21005124523,43,10,34,63,58,47,32,32,36,29,26,11,29,4,0,42,95,589
21005124524,34,12,26,40,29,12,20,13,26,18,18,5,14,3,3,14,64,362
21005124525,14,3,16,23,24,31,7,12,10,13,11,0,5,3,0,66,35,273
21005124526,50,17,8,24,37,30,27,33,46,31,31,14,34,10,10,39,52,479
21005124527,17,0,12,23,22,14,9,8,16,12,10,8,13,0,0,6,26,220
21005124528,45,26,23,45,37,32,24,41,51,26,28,23,25,3,3,20,80,545
21005124529,27,11,11,21,24,20,14,29,34,20,23,9,18,0,11,8,46,322
21005124531,44,11,38,53,53,31,32,39,34,22,23,16,10,4,5,28,117,558
21005124533,25,6,13,20,27,11,9,8,32,24,20,10,19,6,6,14,32,274
21005124534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21005124535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
21005124536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21005124537,0,0,0,7,53,9,0,0,0,0,0,0,0,0,0,0,0,73
21005124538,65,10,37,53,46,31,33,28,45,23,23,16,20,9,3,43,103,602
21005124539,26,9,28,26,20,30,17,37,34,26,28,14,20,6,8,24,57,411
21005124540,40,17,28,20,26,31,27,36,34,41,26,22,34,0,6,25,83,504
21005124541,32,16,13,33,37,32,27,34,31,28,27,27,27,0,4,26,65,456
21005124542,56,32,22,13,18,22,26,34,42,43,29,31,41,3,7,13,77,507
21005124543,40,20,24,29,30,26,16,40,36,30,32,13,31,15,11,6,66,464
21005124544,23,4,5,10,28,5,10,10,14,16,15,9,5,5,3,6,20,181
21005124545,13,4,10,13,24,7,14,21,20,13,15,11,14,0,7,8,44,230
21005124546,47,10,22,42,36,30,35,30,32,27,27,15,20,0,3,25,80,485
21005124547,20,6,16,18,22,20,20,21,20,13,13,15,14,0,6,10,41,272
21005124548,34,11,19,34,34,16,9,27,26,28,22,10,20,5,8,18,47,377
21005124549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21005124550,43,17,12,18,28,17,38,38,50,43,46,36,36,9,25,7,143,615
21005124551,15,8,23,28,29,12,8,13,19,17,12,12,9,0,0,25,57,298
21005124552,50,9,43,40,64,37,25,37,36,35,34,22,28,6,9,54,180,700
21005124553,35,8,20,16,16,16,10,20,22,18,10,10,22,11,8,11,70,321
21005124601,61,22,32,60,28,33,35,40,32,31,23,11,33,4,10,11,62,532
21005124602,49,13,36,43,27,43,42,29,45,31,27,14,31,10,8,15,64,515
21005124603,40,13,10,34,29,24,30,22,33,20,20,12,22,6,5,18,74,417
21005124604,32,15,11,25,27,20,19,25,23,30,8,3,24,4,5,0,41,315
21005124605,32,11,10,20,17,10,24,20,30,20,23,19,9,7,16,24,40,339
21005124606,33,21,29,29,18,26,21,29,39,31,27,9,25,4,13,14,55,433
21005124607,29,14,23,28,21,23,12,30,32,18,18,17,17,0,13,27,42,357
21005124608,24,9,10,22,12,17,15,19,14,11,14,12,14,0,6,22,35,271
21005124609,29,12,16,35,26,24,38,31,18,25,18,21,16,8,9,10,80,405
21005124610,38,16,24,41,32,24,29,29,30,29,16,20,22,4,6,14,65,440
21005124611,25,22,25,52,26,30,20,20,25,27,13,18,19,0,5,17,68,404
21005124612,36,17,23,34,32,21,20,26,31,22,28,17,36,9,3,11,69,428
21005124613,19,11,11,22,13,12,12,4,22,13,10,16,15,14,10,3,44,240
21005124614,52,19,33,39,28,30,19,28,37,24,29,9,32,6,8,17,46,461
21005124615,48,25,15,23,26,32,26,32,44,20,22,24,36,15,16,27,40,477
21005124616,49,13,18,34,11,15,23,29,32,17,19,7,16,10,6,17,61,370
21005124617,54,17,38,29,29,27,22,42,33,23,36,20,33,9,9,21,95,525
21005124618,40,10,19,20,31,13,16,24,22,31,19,9,25,6,0,8,49,348
21005124619,37,15,18,27,15,20,19,22,34,17,20,6,20,0,3,5,57,347
21005124620,26,20,10,24,18,19,33,21,24,24,12,13,21,5,5,24,49,353
