SA1 (UR),Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
20701114605,12,15,8,5,15,13,22,11,17,15,8,10,29,10,25,11,69,291
20701114606,46,23,34,31,14,27,17,25,31,41,32,29,75,13,75,7,145,665
20701114607,42,21,27,21,24,14,16,20,26,18,17,13,41,7,31,18,84,451
20701114608,23,4,19,5,13,9,12,14,20,7,20,17,26,8,21,4,55,271
20701114609,52,21,28,13,34,21,24,30,26,23,19,21,50,24,62,10,132,596
20701114610,43,15,16,22,37,27,18,21,21,22,8,10,31,24,30,39,105,496
20701114611,30,13,21,29,35,21,25,17,22,26,20,11,40,20,39,28,106,507
20701114612,28,16,13,10,17,15,8,19,22,13,9,15,28,10,41,0,56,328
20701114613,17,11,14,13,9,11,10,12,19,16,9,8,21,9,29,10,43,263
20701114614,53,37,17,36,14,31,34,30,38,33,32,20,50,17,65,3,119,626
20701114615,19,11,3,27,18,16,22,12,9,16,16,29,36,9,20,63,49,371
20701114616,35,13,12,14,28,17,7,26,22,19,19,16,28,11,10,35,60,366
20701114617,24,12,13,11,11,13,14,14,11,10,12,4,20,17,47,3,66,304
20701114618,39,9,15,19,21,22,18,15,11,9,19,11,36,16,43,8,88,410
20701114619,35,10,20,30,35,16,23,28,35,18,31,24,49,20,37,14,104,530
20701114701,40,10,14,33,28,29,28,42,28,30,40,28,34,20,32,13,82,529
20701114702,36,9,8,15,11,24,7,22,19,12,17,16,26,4,19,15,45,311
20701114703,18,12,10,9,12,4,15,11,12,12,12,11,27,0,25,5,41,246
20701114704,47,13,13,16,7,25,13,18,22,20,19,14,19,4,40,21,48,351
20701114705,47,10,38,19,10,24,23,29,41,20,22,18,32,13,20,19,66,447
20701114706,46,21,14,29,23,19,27,26,34,31,25,23,31,19,34,11,92,499
20701114707,27,12,14,11,14,11,19,22,25,15,14,8,31,4,20,4,57,290
20701114708,33,17,6,12,4,9,8,21,16,10,12,12,20,5,20,10,53,255
20701114709,45,20,18,28,34,31,37,26,30,26,23,23,46,13,22,12,73,504
20701114710,57,19,22,33,43,36,29,29,51,46,34,31,63,29,48,27,117,699
20701114711,56,21,21,18,15,32,19,26,34,18,19,25,35,10,38,15,96,502
20701114712,51,12,24,16,18,19,19,23,36,19,18,14,30,4,21,6,61,395
20701114713,59,38,30,27,33,26,31,29,33,23,12,22,45,15,23,28,78,554
20701114714,105,28,26,51,33,34,23,42,39,29,18,20,53,21,26,7,114,674
20701114715,48,12,9,24,11,19,28,18,29,17,17,25,35,12,20,7,70,396
20701114716,49,19,19,39,38,26,27,23,37,22,33,10,35,3,22,19,80,506
20701114717,65,19,22,32,31,32,11,16,35,21,20,23,31,21,41,12,91,518
20701114718,72,8,15,21,54,24,27,17,14,13,17,9,22,6,31,8,66,422
20701114719,62,25,17,37,27,23,23,30,40,38,30,15,50,9,41,23,105,588
20701114720,39,24,15,11,25,25,34,21,24,29,24,11,38,14,38,5,63,450
20701114721,49,18,20,13,17,18,17,19,17,26,15,14,27,22,41,16,73,422
20701114722,61,20,27,19,25,18,8,21,28,23,21,14,27,17,26,6,72,429
20701114723,46,30,5,31,27,27,13,21,16,33,21,19,41,7,27,47,66,481
20701114724,65,15,18,24,34,26,20,32,44,25,24,19,57,10,30,29,86,552
20701114725,56,27,19,13,24,20,22,22,30,24,24,20,51,23,69,15,69,530
20701114726,43,17,21,21,10,6,15,24,28,21,21,16,35,3,62,21,62,415
20701114727,99,21,23,23,27,41,45,39,55,46,40,39,80,30,69,34,126,839
20701114728,37,22,21,21,25,25,19,41,28,31,33,24,45,13,49,12,79,522
20701114729,41,18,11,21,19,24,20,15,25,16,10,25,33,17,29,7,71,394
20701114730,66,14,14,27,49,42,30,47,45,19,25,16,32,7,21,29,75,555
20701114731,22,9,17,14,18,13,20,24,43,17,20,17,21,7,33,11,51,351
20701114732,31,9,9,23,23,32,20,26,40,21,16,14,15,9,6,26,43,368
20701114733,65,11,18,31,24,35,21,34,21,20,26,11,32,12,28,21,103,523
20701114734,30,6,11,18,12,11,16,22,15,16,17,4,21,17,9,11,60,297
20701114735,30,13,13,9,20,8,6,16,17,9,12,8,19,9,13,8,56,270
20701114801,33,17,18,16,24,23,20,21,27,11,15,18,22,4,30,14,46,350
20701114802,50,27,15,15,21,12,14,29,26,33,29,26,39,17,42,8,87,486
20701114803,36,10,11,26,17,19,16,19,16,15,17,15,21,18,39,14,75,382
20701114804,42,25,15,20,25,30,21,26,28,30,23,25,47,11,27,14,93,505
20701114805,27,13,8,12,12,17,12,24,18,20,16,14,31,12,23,11,68,326
20701114806,65,22,25,20,20,21,24,24,43,17,20,20,34,5,27,9,107,504
20701114807,81,21,21,18,28,28,16,32,49,31,24,20,35,9,38,8,112,566
20701114808,71,13,23,23,21,23,20,20,24,25,23,24,26,12,45,13,66,473
20701114809,47,22,25,11,18,9,16,16,26,21,17,12,33,7,39,15,58,393
20701114810,35,9,17,14,10,14,18,12,15,20,12,10,24,10,29,13,60,325
20701114811,62,22,20,20,19,18,14,22,24,16,16,18,43,11,35,14,83,445
20701114812,69,27,21,30,24,27,17,22,35,23,33,15,49,12,30,11,111,546
20701114813,66,20,26,18,9,18,12,20,13,21,15,14,23,8,7,7,61,370
20701114814,39,13,19,19,13,14,21,23,23,26,11,16,27,9,7,11,61,366
20701114815,69,13,24,21,24,23,24,16,22,16,17,17,29,11,18,18,104,457
20701114816,52,17,20,21,23,29,18,27,23,25,19,20,27,9,22,20,88,461
20701114817,57,25,30,31,36,28,26,40,51,46,37,18,51,18,31,23,85,640
20701114818,31,10,10,15,19,9,18,10,18,15,15,14,16,14,21,10,52,293
20701114819,63,21,19,17,11,16,13,19,24,15,22,19,27,14,33,7,54,395
20701114820,29,18,11,17,15,17,10,24,22,15,16,12,22,15,23,10,51,337
20701114821,25,13,9,9,20,9,10,20,18,19,15,14,22,12,26,21,22,275
20701114822,31,24,15,18,10,17,19,25,14,23,21,18,50,22,43,26,70,459
20701114823,81,25,19,22,16,24,23,25,20,27,26,26,42,16,17,17,103,521
20701114824,69,22,27,8,22,33,25,24,26,30,27,15,35,17,21,20,109,534
20701114825,33,15,11,10,11,13,10,18,24,23,17,14,33,21,44,11,70,390
20701114826,29,22,16,17,18,4,8,13,28,16,9,10,40,7,36,15,84,367
20701114827,43,23,21,26,32,33,35,35,41,27,30,22,54,13,41,24,126,644
20701114828,61,29,23,19,31,31,19,29,40,32,25,18,41,17,38,16,116,589
20701114829,35,12,13,22,10,15,25,18,25,20,23,17,29,3,27,15,82,406
20701114830,41,17,20,23,17,18,20,18,30,19,28,25,31,20,37,20,75,445
20701114831,60,17,24,21,24,22,31,27,33,23,21,17,37,10,33,20,89,498
20701114832,65,25,24,29,33,27,21,30,38,32,32,22,45,11,36,7,71,555
20701114833,52,19,28,18,15,8,20,24,22,26,23,17,32,9,38,10,74,439
20701114834,43,10,11,20,16,21,10,16,24,18,18,13,27,12,24,18,65,366
20701114835,30,11,9,13,7,8,15,21,11,12,6,15,19,10,24,0,73,281
20701114836,27,14,9,5,15,16,11,6,21,19,14,7,19,3,13,16,32,248
20701114837,27,9,15,12,13,13,8,14,10,9,13,9,12,4,10,8,32,214
20701114838,61,19,17,20,19,30,17,20,33,33,17,19,22,16,23,13,84,465
20701114839,57,16,27,25,16,23,21,25,30,20,27,17,41,9,22,5,96,474
20701114840,48,22,13,13,17,8,14,21,21,16,25,15,24,12,23,15,67,378
20701114841,70,29,26,15,16,15,24,28,21,24,29,17,39,8,29,15,84,489
20701114842,40,16,13,10,16,17,12,17,18,18,24,10,28,4,14,5,78,342
20701114843,40,13,14,15,8,14,10,11,13,16,18,12,22,7,12,8,64,310
20701114844,31,16,20,13,14,24,21,17,11,23,20,4,23,11,27,0,67,346
20701114845,57,23,18,20,22,22,26,25,32,26,19,14,30,7,26,13,81,460
20701114846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20701114847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20701114848,32,14,10,9,10,16,13,10,17,15,15,14,29,5,15,7,70,309
20701114849,23,8,7,15,22,17,15,15,21,15,15,15,28,6,23,5,64,323
20701114850,52,18,27,27,49,18,20,21,41,34,19,17,35,8,14,48,47,491
20701114851,39,8,10,18,9,10,7,21,20,11,12,13,28,4,22,0,57,285
20701114852,50,22,14,23,19,27,19,23,33,16,25,22,39,5,12,28,95,474
20701114901,27,13,19,10,12,18,20,16,23,28,11,18,38,16,41,60,86,458
20701114902,30,13,15,16,13,15,16,20,21,12,19,6,36,22,56,10,77,389
20701114903,20,18,0,7,13,12,11,21,21,12,13,13,13,7,40,12,49,288
20701114904,35,10,22,22,18,13,21,22,31,35,25,13,45,11,33,15,47,416
20701114905,33,11,19,18,15,14,19,20,29,19,27,24,33,14,33,7,74,407
20701114906,45,26,21,19,32,23,21,25,37,26,21,27,35,15,64,23,73,533
20701114907,42,11,19,20,24,45,32,49,47,44,60,34,60,18,44,27,98,678
20701114908,41,12,30,16,28,29,35,28,21,24,11,22,47,4,53,11,87,505
20701114909,40,20,29,36,20,36,22,39,47,41,36,30,69,15,43,12,91,622
20701114910,37,9,8,17,24,28,28,22,29,21,31,12,53,10,35,14,61,432
20701114911,31,20,11,18,14,7,30,11,25,26,24,19,37,11,34,19,48,384
20701114912,36,14,17,14,24,16,19,21,29,23,21,22,31,9,17,10,40,350
20701114913,21,7,9,18,37,24,29,22,27,9,21,18,25,15,37,19,55,403
20701114914,37,10,6,24,15,19,10,16,27,19,22,14,47,17,39,13,89,419
20701114915,24,11,3,15,9,13,13,8,20,12,14,15,18,4,33,7,63,291
20701114916,42,31,15,18,27,27,11,20,33,24,23,15,40,15,61,17,94,510
20701114917,35,13,18,10,15,10,10,10,13,22,16,11,36,15,45,17,90,383
20701114918,55,14,14,24,31,21,33,29,36,28,31,23,50,13,34,15,79,530
20701114919,44,7,16,26,23,18,22,20,31,19,26,21,35,7,49,9,68,452
20701114920,35,14,16,10,11,14,24,13,17,17,16,21,37,10,42,12,51,370
20701114921,23,12,11,9,7,8,11,10,19,7,14,10,20,13,31,4,43,252
20701114922,20,8,4,8,14,13,10,19,13,9,16,6,18,7,18,18,27,236
20701114923,20,12,3,8,12,5,7,10,7,9,6,9,12,10,34,11,29,198
20701114924,33,16,21,10,13,21,16,24,38,28,22,10,38,11,52,13,83,451
20701114925,37,13,17,5,11,11,10,11,17,17,14,8,17,9,27,13,54,285
20701114926,16,8,12,11,12,18,20,13,18,13,16,13,36,7,27,48,59,339
20701114927,21,10,6,11,23,23,8,13,27,23,12,12,23,16,42,26,40,343
20701114928,50,15,14,24,27,27,19,33,37,25,23,23,39,23,65,34,92,558
20701114929,44,14,17,17,22,16,15,16,20,10,19,11,33,11,53,12,53,385
20701114930,43,32,16,21,22,24,19,16,25,20,24,12,40,21,69,15,81,510
20701114931,48,18,25,11,13,15,17,39,33,34,34,26,55,13,37,20,85,520
20701114932,59,18,18,29,20,28,15,34,41,28,34,36,54,18,77,17,89,615
20701114933,12,10,9,5,0,4,3,8,9,9,7,11,16,6,43,4,32,192
20701114934,31,11,23,22,29,19,37,33,19,30,35,28,43,21,42,8,97,525
20701114936,34,32,14,7,14,28,15,21,13,16,22,17,33,17,46,11,87,437
20701114937,16,6,10,13,15,12,11,18,28,6,13,8,12,5,18,8,38,243
20701114938,50,8,33,64,42,25,14,19,16,10,15,11,30,18,38,30,95,517
20701114939,57,25,21,34,23,27,25,25,39,31,33,25,43,16,26,42,75,572
20701114940,32,26,15,24,17,27,20,22,23,24,23,22,45,19,47,14,81,473
20701114941,49,22,31,29,24,38,32,35,45,37,26,36,54,8,55,15,89,626
20701114942,22,4,13,17,8,30,13,23,22,21,24,11,24,7,19,22,55,336
20701114943,39,20,15,17,19,22,16,19,27,29,15,16,38,11,33,18,85,436
20701114944,53,31,23,35,48,30,24,18,37,26,22,19,51,15,47,19,76,558
20701114945,26,11,17,7,13,15,8,13,23,20,10,3,29,9,22,0,43,277
20701114946,56,29,20,26,34,30,24,29,51,40,39,25,60,8,53,16,87,630
20701114947,32,16,17,12,18,6,20,19,21,17,18,13,29,10,60,9,96,414
20701114948,21,12,13,14,15,13,11,15,14,17,7,13,12,13,42,7,52,272
20701114949,34,18,9,9,14,10,12,13,11,14,19,16,35,14,66,14,86,419
20701114950,28,17,12,17,15,9,23,14,23,14,17,10,33,12,38,9,61,354
20701114951,23,22,15,15,7,68,13,19,24,18,19,10,16,4,31,8,30,352
20701115001,24,16,12,7,15,13,14,16,15,21,19,11,40,10,34,16,59,340
20701115002,28,7,21,15,17,26,15,26,37,26,28,38,41,19,53,13,123,543
20701115003,38,16,16,13,17,17,17,18,25,24,29,29,39,19,66,4,99,472
20701115004,19,16,11,26,30,18,18,22,28,24,28,26,48,9,21,4,47,409
20701115005,31,21,21,20,25,13,16,22,12,26,14,13,34,17,38,7,49,371
20701115006,27,16,20,11,19,20,28,12,33,19,21,19,32,17,75,5,109,482
20701115007,16,4,12,5,9,11,3,9,4,13,17,9,39,6,30,12,58,254
20701115008,7,19,10,6,4,10,12,8,13,8,12,16,31,8,15,0,38,226
20701115009,52,11,14,10,18,13,14,14,13,13,12,17,34,6,44,15,68,364
20701115010,36,24,13,23,18,21,31,22,35,33,39,27,54,18,64,33,89,559
20701115011,32,16,19,12,8,16,15,11,21,13,16,9,36,11,52,11,63,349
20701115012,37,10,17,18,17,15,22,36,41,38,23,28,65,32,33,17,85,530
20701115013,42,28,28,31,23,16,22,37,34,28,32,21,62,13,41,17,123,603
20701115014,27,18,5,17,12,17,15,12,23,16,16,20,19,16,39,5,68,346
20701115015,61,18,26,31,25,43,35,29,44,25,22,13,36,19,61,11,108,603
20701115016,26,11,15,21,16,22,24,10,30,19,21,16,28,18,40,0,82,400
20701115017,23,9,10,9,9,5,14,13,21,15,17,11,15,19,48,15,63,309
20701115018,54,29,21,15,28,17,25,22,37,32,40,29,41,17,70,12,102,590
20701115019,36,20,24,17,9,20,7,17,10,20,16,14,34,23,84,18,107,473
20701115020,48,35,20,12,15,22,17,21,25,19,16,11,28,16,73,16,108,503
20701115021,52,11,19,22,19,29,26,26,32,28,26,24,45,21,87,14,118,598
20701115022,45,22,13,15,15,24,17,21,22,23,26,22,40,17,58,11,96,493
20701115023,36,19,19,20,19,22,13,19,25,16,25,19,43,12,44,18,91,460
20701115024,44,15,18,28,19,17,14,18,27,20,22,13,34,23,45,16,114,482
20701115025,32,11,20,10,26,11,12,19,12,14,17,15,27,13,28,11,58,348
20701115026,39,31,17,28,28,33,32,28,37,27,26,17,53,25,65,27,134,642
20701115028,20,12,10,5,0,3,4,13,10,10,10,11,13,15,32,8,43,201
20701115029,37,22,18,14,17,17,13,23,34,22,25,19,48,23,60,11,94,505
20701115030,32,19,10,22,10,6,13,25,32,29,15,25,40,10,38,11,75,410
20701115031,44,17,14,17,11,20,21,22,21,20,20,21,46,23,51,11,94,460
20701115032,34,24,16,23,22,24,17,21,32,24,34,17,37,8,55,4,89,480
20701115033,46,13,10,8,14,14,9,19,21,30,5,18,21,12,48,11,70,366
20701115034,29,9,11,16,8,8,10,21,10,20,14,20,36,21,41,18,93,379
20701115035,18,8,13,12,6,8,13,13,9,14,12,13,14,6,23,0,51,237
20701115036,33,12,17,18,13,17,13,18,16,32,25,18,42,8,27,3,69,383
20701115037,23,7,11,12,9,12,17,17,19,6,16,4,23,6,22,3,55,264
20701115038,23,18,16,4,11,12,18,13,12,11,17,10,27,8,41,9,44,292
20701115039,22,13,13,15,6,13,18,30,21,35,33,25,47,26,22,29,34,399
20701115040,22,14,8,3,13,13,16,9,13,15,11,20,26,14,36,6,62,314
20701115041,21,7,5,19,12,18,11,14,27,16,22,13,44,14,24,16,47,331
20701115201,31,13,19,33,23,21,23,28,20,31,29,29,60,18,38,9,63,482
20701115202,38,13,9,15,16,11,22,16,27,18,20,12,44,11,52,31,90,439
20701115203,31,4,6,10,11,14,19,16,28,32,23,20,33,12,27,10,56,351
20701115204,31,18,12,10,8,13,11,19,18,19,21,21,32,8,50,25,52,362
20701115205,47,14,12,19,20,26,12,27,38,33,27,22,56,28,41,10,127,549
20701115206,51,13,16,24,20,17,26,31,29,36,40,21,54,25,79,23,96,600
20701115207,18,0,9,12,17,27,17,25,36,35,22,23,41,10,27,14,47,390
20701115208,17,13,15,23,32,16,12,16,20,27,32,24,51,13,33,17,56,414
20701115209,38,8,15,23,17,28,28,19,46,44,48,29,68,28,26,36,57,540
20701115210,45,23,16,16,14,20,16,27,33,26,27,20,56,20,75,14,115,576
20701115211,22,13,8,19,16,30,22,31,47,34,35,25,38,15,32,47,70,498
20701115212,15,7,9,12,12,21,24,26,35,37,29,27,45,15,39,22,52,427
20701115213,23,7,3,11,10,5,9,13,20,16,21,19,32,13,34,5,62,307
20701115214,45,17,14,13,8,13,16,18,28,18,16,16,27,12,79,11,66,416
20701115216,31,12,13,20,15,15,23,27,27,24,27,17,38,16,35,18,54,409
20701115218,36,23,13,14,17,19,13,13,20,10,23,13,26,17,55,14,63,395
20701115219,36,11,18,13,15,24,10,23,15,31,34,24,46,21,48,12,54,434
20701115220,25,11,23,18,19,25,27,38,46,33,35,30,45,9,65,9,80,565
20701115221,34,16,12,25,46,46,18,30,40,27,40,15,55,16,46,75,84,607
20701115222,34,13,21,27,21,26,32,40,50,41,46,37,54,16,57,14,81,604
20701115223,22,3,7,6,15,11,12,12,24,25,28,16,34,16,31,13,39,309
20701115224,35,22,10,28,24,32,17,23,48,35,44,22,44,20,68,25,95,597
20701115225,21,16,7,13,10,16,10,16,21,15,12,10,27,6,34,7,54,299
20701115226,44,14,25,16,17,21,26,20,24,22,29,23,55,16,60,11,104,533
20701115228,35,16,26,14,24,18,28,18,25,24,9,16,51,20,57,25,106,530
20701115229,42,11,15,12,18,13,13,20,35,23,20,22,45,19,57,21,111,495
20701115230,37,18,24,15,21,15,15,19,30,27,30,26,40,14,64,14,110,515
20701115231,29,11,13,18,16,23,35,21,30,28,24,22,37,17,33,32,51,444
20701115232,15,7,10,15,12,18,15,17,17,20,22,24,41,14,23,20,11,290
20701115233,25,9,16,13,15,17,16,22,33,20,25,28,48,9,20,11,39,351
20701115234,29,6,10,12,14,22,21,42,59,64,61,31,51,9,16,28,38,513
20701115235,28,11,11,11,16,16,36,41,66,25,44,34,69,18,17,13,26,478
20701115236,47,9,11,18,18,32,26,31,53,49,52,34,79,19,34,25,71,603
20701115237,21,7,5,16,18,19,20,28,33,28,23,17,27,9,8,8,9,299
20701115401,33,15,20,14,9,5,11,20,16,10,11,17,22,12,30,13,60,318
20701115402,17,7,10,13,13,9,21,10,21,27,21,19,29,3,17,4,41,281
20701115403,23,15,8,19,14,22,18,28,24,21,20,22,25,6,14,4,59,355
20701115404,22,10,4,21,18,14,11,26,28,26,34,10,30,8,21,14,56,358
20701115405,24,20,8,16,10,8,11,12,16,12,16,13,25,9,33,14,59,294
20701115406,33,5,9,11,10,19,16,11,20,12,14,11,25,7,27,10,70,307
20701115407,23,21,12,17,18,8,15,15,12,14,14,12,30,17,39,10,79,347
20701115408,46,8,23,18,17,19,25,21,17,15,17,12,35,9,38,11,67,395
20701115409,31,13,12,11,5,22,17,23,31,23,29,25,32,9,29,21,78,406
20701115410,29,23,16,15,16,36,17,15,31,24,44,20,42,23,55,3,95,501
20701115411,29,29,22,19,22,24,31,30,29,34,26,21,43,17,36,25,77,511
20701115412,54,23,18,31,27,27,23,30,23,35,33,28,42,18,56,22,103,590
20701115413,42,15,22,13,15,13,11,27,17,18,20,17,36,11,29,17,61,385
20701115414,24,14,24,15,13,11,12,14,18,17,13,7,22,9,36,8,62,296
20701115415,11,12,5,9,6,11,9,12,27,15,6,7,17,0,27,5,41,218
20701115416,37,16,22,9,13,20,20,19,27,16,25,19,44,10,41,12,72,418
20701115417,41,17,26,19,23,16,20,27,30,24,34,20,26,16,28,10,78,460
20701115418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20701115501,25,18,18,14,20,6,14,11,21,26,13,12,31,12,60,12,75,395
20701115502,26,19,14,16,10,17,14,22,28,18,14,17,41,12,52,4,71,389
20701115503,51,23,28,16,20,20,21,22,37,27,32,18,45,32,69,11,101,582
20701115504,28,7,17,17,5,14,22,17,15,23,17,14,22,10,37,9,50,321
20701115505,30,8,16,6,58,38,29,22,13,21,20,15,37,11,31,46,32,434
20701115506,14,8,12,16,10,19,17,22,24,9,18,19,21,10,34,13,47,309
20701115507,19,10,5,3,15,11,14,5,9,17,14,17,22,7,30,10,31,239
20701115508,20,23,15,7,15,11,7,21,18,27,21,10,28,11,44,13,71,369
20701115509,49,6,8,7,9,7,13,15,19,19,12,24,31,14,57,9,66,367
20701115510,70,25,11,22,18,14,17,20,20,19,20,19,34,9,53,11,69,459
20701115511,55,12,22,28,16,22,25,35,28,30,22,26,40,17,45,11,72,506
20701115512,23,16,10,14,5,26,21,15,29,10,15,13,31,12,39,10,67,353
20701115513,40,9,7,12,10,12,19,14,17,16,19,10,31,10,35,6,66,316
20701115514,37,24,20,23,12,24,28,23,24,29,17,12,37,31,57,14,66,472
20701115515,12,15,14,16,6,8,11,10,13,8,20,10,19,6,25,7,44,246
20701115516,16,16,13,8,7,6,13,8,18,18,19,3,19,7,34,4,45,259
20701115517,19,6,9,11,11,16,16,11,16,15,4,15,16,9,36,9,32,261
20701115518,34,18,12,17,20,16,20,15,18,21,23,8,32,12,38,11,70,380
20701115519,30,15,11,16,11,6,9,15,9,12,12,5,24,11,41,9,53,290
20701115520,36,11,15,15,26,18,22,16,28,22,24,23,18,14,39,49,25,392
20701115521,39,14,17,16,20,27,29,34,38,21,24,11,45,18,50,15,85,515
20701115522,58,22,20,27,27,29,32,26,35,30,26,23,47,15,69,30,77,588
20701115523,25,5,16,14,6,10,13,12,16,17,18,6,21,3,22,10,37,250
20701115524,21,10,9,27,14,22,20,9,16,21,19,13,30,20,50,18,41,354
20701115525,27,17,12,4,18,21,17,15,30,25,19,16,33,12,37,29,63,404
20701115526,47,27,18,22,20,24,28,22,36,27,33,15,59,21,85,4,100,593
20701115527,12,12,9,13,5,9,9,7,9,15,14,5,35,9,30,0,28,226
20701115528,35,16,9,7,20,10,17,11,16,11,14,11,31,10,49,15,66,364
20701115529,25,4,15,4,9,3,12,5,12,7,11,8,19,8,44,3,53,242
20701115530,38,27,11,19,23,21,17,19,18,19,18,12,35,20,66,12,91,489
20701115531,21,16,17,16,14,11,11,27,15,9,22,13,29,12,25,13,47,319
20701115532,52,11,14,20,20,26,24,27,22,30,29,18,34,6,36,15,64,442
20701115533,32,18,6,20,18,13,10,16,18,17,22,11,24,15,50,5,75,378
20701115534,54,20,15,14,20,15,23,20,39,21,28,21,40,15,65,18,99,529
20701115535,42,20,9,13,13,14,12,14,17,15,15,18,29,11,39,5,52,339
20701115536,24,23,12,16,8,7,12,8,10,20,21,13,23,4,19,6,36,271
20701115537,32,5,12,13,15,13,14,27,25,23,19,16,35,13,28,4,47,339
20701115538,27,22,16,10,17,20,17,14,21,16,22,7,27,12,51,9,67,361
20701115539,14,11,8,6,9,16,14,18,13,10,15,8,26,12,28,8,32,267
20701115540,40,19,17,22,22,11,24,33,26,18,17,20,38,20,38,7,85,464
20701115541,37,6,8,8,4,10,9,11,4,17,8,6,17,6,23,15,27,225
20701115542,43,25,15,11,21,16,20,30,23,14,21,15,37,10,37,5,75,424
20701115543,14,4,7,8,5,5,6,7,8,7,8,3,14,4,34,4,31,171
20701151901,22,7,14,26,9,26,26,18,27,27,28,24,44,9,39,14,74,419
20701151902,28,11,10,12,24,29,28,28,25,27,23,23,23,8,33,23,52,413
20701151903,40,27,26,23,15,23,23,30,30,37,30,21,71,27,73,20,105,615
20701151904,12,7,8,11,10,14,11,12,13,10,13,11,25,6,19,16,26,211
20701151905,43,16,7,14,10,27,18,25,37,26,20,19,44,9,79,39,68,496
20701151906,29,0,14,19,13,30,24,25,25,19,10,15,26,5,28,36,42,379
20701151907,20,13,15,17,21,44,21,34,33,25,35,41,36,8,28,26,70,477
20701151908,18,8,11,14,16,21,22,16,36,30,28,25,40,17,39,39,41,414
20701151909,23,11,13,23,23,19,25,24,45,25,24,28,61,19,58,4,86,488
20701151910,24,13,17,10,16,24,23,32,11,22,16,14,26,17,65,11,51,391
20701151911,22,10,21,15,21,29,25,24,23,43,36,23,62,12,49,15,59,493
20701151912,19,17,12,8,13,14,7,13,30,35,26,20,43,7,34,13,32,335
20701151913,27,9,13,11,15,15,12,15,17,19,22,18,29,8,70,14,42,364
20701151914,27,15,11,13,12,31,23,25,28,25,34,17,29,18,44,30,69,459
20701151915,27,10,16,9,15,8,8,15,31,22,12,12,41,17,65,16,89,418
20701151916,11,3,4,8,0,9,10,10,8,12,11,6,21,3,43,11,35,204
20701151917,62,31,81,69,34,45,27,18,23,21,16,11,20,4,3,17,5,479
20701151918,14,9,5,5,8,8,10,19,22,26,21,20,45,9,27,4,21,277
20701151919,29,3,6,13,10,10,15,13,11,21,27,20,46,16,28,9,74,357
20701151920,36,19,15,14,18,28,47,26,49,38,55,29,84,22,60,13,89,640
20701151921,36,16,16,11,15,12,15,34,26,30,24,16,44,22,80,25,73,503
20701151922,33,14,21,17,12,35,25,25,32,40,30,29,54,17,44,24,82,529
20701151923,44,17,19,18,14,27,12,23,38,29,36,34,45,14,52,19,65,498
20701152001,24,20,6,17,9,12,10,16,18,15,12,8,18,23,38,15,65,331
20701152002,26,10,25,35,28,44,38,30,61,34,42,26,53,32,41,32,71,635
20701152003,15,7,11,21,15,19,17,23,35,22,23,12,30,5,7,20,16,300
20701152004,28,6,10,19,26,33,30,27,52,33,45,37,70,10,28,37,49,541
20701152005,24,8,29,30,14,23,13,16,26,16,11,11,21,3,0,6,9,256
20701152006,31,5,14,18,8,13,18,13,28,18,26,13,51,14,46,35,48,400
20701152007,27,9,10,28,24,34,27,28,53,37,21,33,44,19,45,18,55,514
20701152008,94,17,14,11,11,11,6,15,11,18,13,7,32,16,37,16,64,393
20701152009,18,10,17,17,17,33,35,23,37,36,29,27,49,8,43,17,54,474
20701152010,41,16,16,12,12,10,3,4,18,10,21,12,28,13,55,7,77,349
20701152011,25,6,11,14,0,8,8,13,9,12,13,11,19,5,52,11,65,273
20701152012,19,7,12,12,19,28,9,18,28,20,27,13,29,9,28,13,30,330
20701152013,33,12,15,28,21,43,40,28,43,42,34,34,74,18,25,29,56,569
20701152014,34,14,17,19,16,25,31,38,46,36,36,35,71,16,51,9,73,554
20701152015,26,9,17,17,10,18,15,26,32,12,14,23,35,4,35,11,47,361
20701152016,9,3,8,12,15,26,18,13,33,34,37,18,54,4,25,12,19,350
20701152017,21,4,7,16,13,21,19,31,29,20,33,18,42,16,24,15,45,373
20701152018,28,9,8,15,7,20,25,24,48,47,57,40,65,11,18,26,14,460
20701152019,18,10,12,11,15,16,6,13,17,16,13,23,38,13,39,18,58,332
20701152020,37,10,16,13,20,25,19,30,41,49,51,26,41,14,33,11,33,463
20701152021,15,7,20,10,13,16,21,5,20,23,23,21,30,15,29,13,20,301
20701152022,38,3,13,18,19,18,26,17,32,25,21,17,35,7,44,22,25,380
20701152023,27,23,7,11,7,15,10,20,22,23,24,7,39,13,70,10,56,381
20701152024,67,22,24,18,23,29,36,30,28,35,22,15,53,19,63,24,108,622
