SA1 (UR),"Oceania and Antarctica, nfd",New Zealand,Melanesia,Micronesia,Polynesia (excludes Hawaii),Antarctica,"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man",Ireland,Western Europe,Northern Europe,"Southern and Eastern Europe, nfd",Southern Europe,South Eastern Europe,Eastern Europe,"North Africa and the Middle East, nfd",North Africa,Middle East,"South-East Asia, nfd",Mainland South-East Asia,Maritime South-East Asia,"North-East Asia, nfd",Chinese Asia (includes Mongolia),Japan and the Koreas,"Southern and Central Asia, nfd",Southern Asia,Central Asia,"Americas, nfd",Northern America,South America,Central America,Caribbean,"Sub-Saharan Africa, nfd",Central and West Africa,Southern and East Africa,Supplementary codes,Not stated,Total
20604150401,0,7,0,0,0,0,0,9,0,3,0,0,6,0,0,0,0,0,0,25,127,0,324,24,0,18,0,0,4,5,0,0,0,0,7,0,32,583
20604150402,0,14,0,0,0,0,0,13,0,0,0,0,0,7,9,0,0,0,0,7,43,0,43,9,0,25,0,0,4,3,0,0,0,0,4,0,14,203
20604150403,0,9,0,0,0,0,0,5,0,4,0,0,3,3,0,0,0,4,0,40,79,0,156,18,0,49,0,0,4,3,3,0,0,0,0,0,34,418
20604150404,0,11,0,0,0,0,0,11,4,0,0,0,0,3,3,0,0,8,0,45,140,0,238,40,0,80,0,0,3,7,0,0,0,0,0,0,45,639
20604150405,0,15,0,0,0,0,0,8,0,3,0,0,6,0,4,0,0,9,0,46,105,0,99,18,0,39,0,0,6,21,3,0,0,0,0,0,27,416
20604150406,0,13,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,0,61,386,0,261,21,0,58,0,0,4,3,0,0,0,0,9,0,41,879
20604150407,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,23,52,0,27,9,0,36,0,0,0,12,0,0,0,0,0,0,3,186
20604150408,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,44,170,0,408,26,0,30,0,0,0,8,0,0,0,0,7,0,32,752
20604150409,0,18,0,0,0,0,0,4,3,6,0,0,0,9,5,0,0,3,0,42,98,0,97,47,0,33,0,0,9,22,3,0,0,0,12,0,202,620
20604150410,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,21,22,0,79,17,0,10,0,0,0,3,0,0,0,0,5,0,73,237
20604150411,0,10,0,0,0,0,0,3,0,5,0,0,4,5,3,0,0,3,0,46,112,0,307,12,0,33,3,0,4,21,0,0,0,0,11,0,18,596
20604150412,0,3,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,7,0,15,48,0,59,5,0,18,0,0,4,4,0,0,0,0,7,0,9,180
20604150413,0,9,3,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,104,154,0,94,37,0,53,0,0,9,16,0,0,0,0,3,0,15,510
20604150414,0,10,0,0,0,0,0,12,0,0,0,0,0,3,3,0,0,10,0,62,199,0,576,20,0,17,0,0,6,9,0,0,0,0,7,0,263,1209
20604150415,0,14,0,0,0,0,0,6,5,3,0,0,3,0,5,0,0,4,0,19,49,0,45,15,0,52,0,0,6,18,0,0,0,0,3,0,33,282
20604150416,0,9,0,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,0,40,61,0,144,11,0,23,0,0,0,11,0,0,0,0,4,0,33,338
20604150417,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,3,42,0,16,3,0,5,0,0,0,0,0,0,0,0,0,0,5,104
20604150418,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,18,96,0,201,5,0,9,0,0,0,3,0,0,0,0,0,0,13,375
20604150419,0,5,0,0,0,0,0,5,0,3,0,0,3,3,0,0,0,0,0,34,55,0,39,6,0,59,0,0,4,11,0,0,0,0,10,0,32,272
20604150420,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,52,129,0,237,17,0,69,0,0,0,14,0,0,0,0,3,0,28,572
20604150421,0,13,4,0,0,0,0,9,0,3,0,0,9,0,7,0,0,12,0,38,153,0,289,34,0,31,0,0,7,35,3,0,0,0,6,0,20,663
20604150422,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,43,55,0,71,17,0,49,0,0,3,7,0,0,0,0,4,0,17,289
20604150423,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,18,0,20,9,0,21,0,0,3,4,0,0,0,0,4,0,4,100
