DZN_21,TotJob_21
211462025,802
211462033,350
211471999,517
211472003,1105
211472004,1113
211472005,481
211472006,939
211472007,326
211472008,329
211482009,324
211482010,192
211482011,205
211482012,813
211482013,335
211482014,149
211482015,341
211482016,638
211482017,355
211482018,219
211492035,1249
211492036,492
211492037,980
211492038,158
211492039,366
211492040,1260
211492041,124
211492042,815
211492043,197
211492044,238
211492045,122
211492046,558
211492047,362
211492048,855
211492049,652
211492050,757
211500001,417
211500002,4182
211502023,293
211502026,434
211502028,734
211502029,198
211502030,204
211502031,482
211502032,217
211502034,653
211522052,403
211522053,648
211522054,180
211522055,147
211522056,377
211522057,196
211522058,1007
211522059,424
211522060,552
211522061,315
211522062,1031
211522063,1963
211522078,3711
211542095,152
211542097,109
211542098,920
211542099,1437
211551996,436
211551997,298
211551998,2280
211552000,378
211552001,128
211552002,395
211552019,975
211552020,383
211552021,824
215190001,1387
215190002,409
215190003,655
215190004,1223
215190005,2674
215190006,668
215200001,1538
215200002,97
215200003,334
215200004,695
215200005,2675
215200006,693
215200007,954
215200008,1625
215210001,143
215210002,1677
215210003,460
215210004,1119
215210005,1061
215210006,541
215210007,987
215210008,1322
215220001,717
215220002,348
215220003,349
215220004,220
215220005,908
215220006,1162
215220007,453
215220008,423
215220009,170
211562120,168
211562129,1204
211562130,786
211562131,224
211562132,353
211562133,166
211572119,365
211572121,774
211572122,536
211572123,299
211572124,3951
211572125,817
211572126,726
211572127,1285
211572128,583
211572152,81
211592148,27
211592149,590
211592151,295
211592153,178
211592154,361
211592155,295
211592156,739
211592157,255
211602144,373
211602145,879
211602146,1518
211602147,469
211602150,166
214240001,342
214240002,1119
214240003,209
214240004,1049
214250001,754
214250002,449
214250003,973
214250004,1039
214250005,1103
211612326,177
211612341,688
211612342,1156
211612343,971
211612344,477
211612345,408
211612346,2124
211612347,654
211612348,403
211612349,721
211612351,75
211622318,163
211622331,128
211622335,170
211622339,499
211622340,696
211630001,260
211630002,128
211630003,66
211630004,1375
211630005,441
211630006,1414
211630007,1719
211630008,177
211632260,127
211632266,486
211632267,164
211632268,158
211632275,2123
211632276,7481
211632277,642
