SA1 (UR),"Managers, nfd","Chief Executives, General Managers and Legislators",Farmers and Farm Managers,Specialist Managers,"Hospitality, Retail and Service Managers","Professionals, nfd",Arts and Media Professionals,"Business, Human Resource and Marketing Professionals","Design, Engineering, Science and Transport Professionals",Education Professionals,Health Professionals,ICT Professionals,"Legal, Social and Welfare Professionals","Technicians and Trades Workers, nfd","Engineering, ICT and Science Technicians",Automotive and Engineering Trades Workers,Construction Trades Workers,Electrotechnology and Telecommunications Trades Workers,Food Trades Workers,Skilled Animal and Horticultural Workers,Other Technicians and Trades Workers,"Community and Personal Service Workers, nfd",Health and Welfare Support Workers,Carers and Aides,Hospitality Workers,Protective Service Workers,Sports and Personal Service Workers,"Clerical and Administrative Workers, nfd",Office Managers and Program Administrators,Personal Assistants and Secretaries,General Clerical Workers,Inquiry Clerks and Receptionists,Numerical Clerks,Clerical and Office Support Workers,Other Clerical and Administrative Workers,"Sales Workers, nfd",Sales Representatives and Agents,Sales Assistants and Salespersons,Sales Support Workers,"Machinery Operators and Drivers, nfd",Machine and Stationary Plant Operators,Mobile Plant Operators,Road and Rail Drivers,Storepersons,"Labourers, nfd",Cleaners and Laundry Workers,Construction and Mining Labourers,Factory Process Workers,"Farm, Forestry and Garden Workers",Food Preparation Assistants,Other Labourers,Inadequately described,Not stated,Not applicable,Total
20606113501,0,5,0,26,14,3,11,32,13,12,15,14,11,0,10,0,4,6,10,0,0,0,0,0,0,0,9,0,5,0,3,4,6,0,6,0,6,4,8,0,0,0,4,4,0,0,0,0,0,0,3,0,0,253,513
20606113502,3,18,0,28,8,0,8,50,8,10,22,0,18,0,5,0,0,0,6,0,4,0,0,4,0,0,3,0,12,0,4,0,3,0,4,0,9,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,235,488
20606113503,5,36,0,47,16,5,5,38,21,15,24,10,15,0,4,4,0,0,0,0,5,0,3,6,7,0,11,0,11,9,8,8,4,0,0,0,7,18,0,0,0,4,0,0,0,4,0,3,0,0,0,6,6,389,750
20606113504,8,20,0,20,11,3,4,26,8,5,22,4,13,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,6,0,0,0,9,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,262,463
20606113505,0,3,0,19,6,0,0,32,4,10,9,0,19,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,5,0,7,3,3,0,0,0,9,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,352
20606113506,0,8,0,36,12,4,8,38,9,11,31,19,16,0,4,0,0,0,7,0,0,0,6,11,5,7,8,0,5,4,5,13,8,0,0,0,7,13,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,181,490
20606113507,3,13,5,50,9,0,6,49,29,11,25,14,25,0,7,0,0,0,4,0,3,0,3,5,10,0,7,0,3,5,4,5,11,3,6,0,8,16,3,0,0,0,3,8,0,0,0,0,0,3,4,3,6,275,629
20606113508,0,8,0,27,11,0,0,30,9,13,8,8,7,0,0,0,0,0,4,0,0,0,0,3,5,0,4,0,6,3,0,3,6,0,3,0,9,11,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,168,349
20606113509,5,3,0,25,14,0,4,34,9,9,17,9,11,0,0,0,4,0,0,0,9,0,3,3,3,0,5,0,3,0,3,0,8,0,3,0,13,10,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,96,319
20606113511,0,7,0,22,6,0,4,24,10,6,24,3,7,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,10,0,5,4,4,0,4,0,8,3,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,159,349
20606113512,0,5,0,14,3,0,3,36,8,3,18,0,14,0,0,0,4,0,0,0,6,0,0,0,4,3,0,0,9,7,3,0,3,0,0,0,6,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,174,364
20606113513,4,11,0,24,16,9,5,37,8,11,41,5,22,0,3,0,4,0,3,3,0,0,0,4,11,0,5,0,11,0,8,8,3,0,4,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,209,487
20606113514,0,8,0,16,6,3,9,28,13,11,14,8,11,0,4,0,0,0,4,0,3,0,5,9,7,3,0,0,9,3,3,8,8,0,7,0,0,9,10,0,0,0,4,4,0,6,0,0,0,0,3,4,0,109,346
20606113515,0,4,0,26,8,5,0,30,9,15,7,3,11,0,4,0,0,0,5,0,3,0,5,0,8,0,0,0,3,0,5,4,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,177,383
20606113516,0,6,0,32,13,0,3,60,23,19,25,6,18,0,5,0,4,4,0,0,5,0,0,9,12,4,5,0,6,0,9,4,7,5,13,0,8,17,7,0,6,0,3,0,0,0,0,0,0,0,4,0,0,170,510
20606113517,0,6,0,26,13,4,8,55,17,11,24,13,15,0,9,3,0,0,5,4,0,0,3,9,8,3,9,0,6,3,8,3,5,3,5,0,12,17,6,0,0,0,0,3,0,5,5,5,0,0,0,0,6,197,546
20606113518,5,0,0,20,9,0,4,16,3,6,11,7,5,0,8,0,0,0,5,0,0,0,0,5,0,0,7,0,0,4,0,3,0,0,3,0,4,9,0,0,0,0,0,3,0,9,0,0,0,4,0,0,0,67,224
20606113519,0,5,0,49,22,0,0,59,24,19,18,12,15,0,5,0,0,0,4,0,3,0,3,10,5,7,4,0,8,9,7,3,5,0,12,0,9,14,0,0,0,0,3,3,0,0,0,3,0,0,0,3,3,217,585
20606113520,7,0,0,32,15,0,0,38,10,9,19,3,10,0,4,0,4,0,0,6,6,0,4,4,0,0,6,0,6,4,0,0,9,0,0,0,7,4,3,0,0,0,0,0,0,0,5,0,0,0,0,7,0,163,402
20606113521,4,9,0,54,20,4,7,69,29,25,38,15,16,0,14,4,3,3,3,0,0,0,5,3,3,0,6,0,10,4,6,4,14,0,8,0,19,16,0,0,0,0,0,0,0,7,3,0,0,0,0,5,0,303,770
20606113603,5,11,0,32,20,0,6,30,16,9,14,5,20,0,5,0,4,0,0,5,3,0,5,5,6,0,3,0,5,0,0,0,5,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,142,368
20606113604,0,4,0,21,9,6,5,23,5,10,20,5,9,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,5,0,0,7,8,0,3,0,0,17,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,115,305
20606113605,0,6,0,36,20,4,6,43,12,22,16,12,12,0,7,0,6,3,9,0,6,0,3,8,8,7,7,0,11,3,8,9,4,0,6,0,4,12,0,0,0,0,5,3,0,5,5,0,0,0,0,8,0,152,493
20606113606,0,0,0,0,4,0,0,5,6,9,3,4,3,0,4,4,0,0,3,0,0,0,0,7,7,0,0,0,3,0,0,4,0,0,0,0,0,4,6,0,0,0,0,3,0,6,0,0,0,4,0,4,0,264,378
20606113607,3,10,0,58,22,4,7,57,27,24,23,11,19,0,8,0,3,0,11,4,3,0,9,3,12,5,15,0,7,5,5,5,7,0,9,0,14,10,4,0,0,0,0,9,0,3,0,4,0,0,11,8,3,195,615
20606113608,4,4,0,70,35,0,19,92,35,24,28,17,26,0,5,0,4,0,9,0,6,0,4,14,19,7,6,0,9,0,9,11,11,4,12,0,14,26,3,0,3,0,10,4,0,0,0,5,0,7,3,8,5,196,764
20606113609,0,8,0,39,10,0,6,30,18,11,11,3,13,0,3,0,3,0,7,0,0,0,7,3,8,3,8,0,4,4,3,4,0,0,3,0,4,9,0,0,0,0,3,3,0,0,0,0,0,0,4,3,5,122,379
20606113610,3,7,0,37,10,3,6,41,30,11,33,8,8,0,0,0,9,0,7,9,4,0,3,4,13,7,11,0,12,3,0,6,8,0,5,0,8,8,7,0,0,0,5,0,0,0,0,0,0,0,3,3,5,152,498
20606113611,4,0,0,26,16,3,5,30,14,12,16,11,15,0,5,0,6,0,3,3,0,0,0,5,9,4,3,0,12,5,4,6,6,0,4,0,4,17,4,0,0,0,9,0,0,0,0,0,0,0,3,0,0,110,376
20606113612,5,9,0,38,9,0,0,42,14,6,16,3,8,0,0,0,0,4,0,0,0,0,0,8,0,4,3,0,7,0,0,7,0,0,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,342
20606113613,0,9,0,33,10,3,6,50,14,7,15,7,14,0,7,0,6,0,0,0,4,0,3,7,10,0,3,0,5,0,0,9,7,0,0,0,4,9,4,0,0,0,0,0,0,6,0,0,0,4,3,5,0,162,430
20606113614,0,4,0,35,15,0,3,44,19,11,15,13,7,0,3,0,0,3,4,0,8,0,0,3,12,0,6,0,8,5,4,3,0,0,5,0,8,10,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,61,328
20606113615,0,9,0,58,30,4,9,70,33,15,23,25,21,0,12,0,5,7,11,3,8,0,0,12,21,8,11,0,24,7,19,13,14,0,9,0,19,30,3,0,0,0,4,0,0,7,0,0,0,0,4,9,4,107,670
20606113616,0,7,0,23,14,0,0,12,15,6,11,13,5,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,3,0,3,3,3,0,7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,307,490
20606113617,0,6,0,31,10,3,5,40,8,10,29,3,9,0,3,0,4,0,0,3,0,0,0,9,6,0,5,0,10,4,0,5,6,0,5,0,12,6,4,0,0,0,0,0,0,0,0,4,0,3,3,0,0,159,406
20606113618,0,9,0,39,6,0,8,37,15,7,29,7,9,0,8,0,6,0,0,0,3,0,0,4,11,0,3,0,11,9,5,5,4,0,5,0,12,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,200,472
20606113619,3,0,0,38,11,5,10,44,18,9,13,8,14,0,3,0,4,0,9,0,4,0,0,10,4,0,8,0,10,6,3,4,8,0,9,0,11,9,5,0,0,0,0,0,0,3,0,0,0,8,0,3,0,126,426
20606113620,0,7,0,33,20,3,8,40,12,14,24,8,10,0,4,3,0,3,3,0,6,0,4,4,14,0,7,0,9,4,3,3,3,0,3,0,4,9,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,88,373
20606113621,0,4,0,25,9,3,0,25,9,11,14,0,10,0,5,0,0,0,5,0,0,0,0,3,3,0,0,0,4,0,0,0,10,0,7,0,3,11,0,0,0,0,6,0,0,0,0,0,0,5,0,5,0,102,302
20606113622,0,4,0,39,9,0,3,67,17,11,23,9,10,0,5,0,10,0,4,0,10,0,3,4,8,0,8,0,9,0,3,0,11,3,6,0,7,10,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,154,485
20606113623,0,3,0,36,19,6,4,57,19,13,26,5,23,0,10,0,4,4,7,4,8,0,3,8,14,9,4,0,9,0,3,9,11,0,4,0,7,17,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,189,560
20606113624,3,6,0,38,10,0,12,75,20,9,23,6,18,0,5,0,0,7,4,0,7,0,3,5,4,0,4,0,12,7,3,8,10,0,6,0,15,12,9,0,0,0,3,4,0,5,3,0,0,0,6,0,6,156,524
20606113625,4,7,0,48,23,4,0,38,12,7,25,4,15,0,7,0,3,0,6,0,5,0,0,9,6,0,6,0,11,4,4,5,0,6,3,0,0,15,7,0,0,0,0,3,0,5,0,4,0,4,3,4,6,134,458
20606113626,0,12,0,30,23,4,12,52,17,11,17,10,26,0,3,0,3,0,5,0,0,0,5,11,14,3,4,0,14,0,4,3,5,0,3,0,8,9,7,0,5,0,4,8,0,4,0,0,0,0,6,4,0,194,545
20606113627,0,8,0,37,16,4,5,46,22,18,26,11,14,0,4,3,4,4,4,0,6,0,0,7,6,0,10,0,8,8,4,6,7,6,8,0,10,13,0,0,0,0,3,0,0,0,5,0,0,0,4,3,0,129,476
20606113628,0,9,0,50,18,0,11,58,21,21,19,14,20,0,4,0,5,8,3,3,9,0,3,15,18,3,4,0,10,0,4,12,3,0,12,0,11,21,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,192,591
20606113629,0,4,0,34,18,0,12,48,17,8,23,13,7,0,5,0,5,0,5,4,8,0,0,6,8,0,8,0,12,3,3,0,10,0,14,0,8,8,0,0,0,0,6,0,0,4,4,5,0,4,0,0,0,208,514
20606113630,3,3,0,32,17,0,6,47,22,9,20,7,7,0,3,0,3,0,3,0,0,0,3,10,11,0,8,0,4,3,7,4,6,0,3,0,8,14,12,0,0,0,4,0,0,0,3,0,0,6,0,3,0,132,433
20606113631,0,11,0,35,9,4,5,42,14,9,13,3,7,0,3,0,4,0,0,0,4,0,0,3,7,0,3,0,5,3,3,6,0,0,5,0,9,5,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,147,381
20606113632,0,9,0,23,16,5,5,37,14,7,13,4,5,0,4,0,0,0,0,4,5,0,3,5,5,0,6,0,9,0,5,4,3,0,4,0,3,9,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,171,395
20606113633,3,4,0,56,15,0,4,53,25,10,27,8,13,0,7,0,0,5,0,0,0,0,3,7,9,0,0,0,5,3,7,8,3,0,3,0,17,21,3,0,0,0,0,3,0,0,7,0,0,4,4,0,0,234,581
20606113634,12,14,0,32,10,0,8,42,16,11,12,8,18,0,5,0,6,0,0,0,4,0,0,9,8,0,6,0,8,4,3,4,10,0,7,0,3,23,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,199,507
20606113635,0,8,0,39,3,3,11,47,19,10,25,13,22,0,4,0,0,0,4,0,3,0,3,6,9,0,5,0,7,0,6,3,6,0,6,0,11,7,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,146,436
20606113636,3,6,0,15,13,0,5,34,14,13,11,0,12,0,3,0,7,0,3,0,4,0,0,4,12,0,3,0,10,4,8,8,5,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,98,304
20606113637,0,4,0,27,4,4,9,31,15,3,12,8,12,0,9,0,0,0,3,0,6,0,0,6,7,5,9,0,0,5,5,3,3,0,10,0,8,10,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,86,313
20606113638,3,3,0,16,3,0,5,31,14,8,8,4,10,0,0,0,4,0,0,0,0,0,0,3,0,3,4,0,8,0,5,4,0,0,3,0,6,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,112,280
20606113639,0,5,0,45,20,0,9,49,19,15,20,4,34,0,3,0,5,8,6,6,0,0,0,8,8,0,7,0,10,6,0,13,3,0,8,0,9,17,4,0,0,0,0,0,0,5,6,0,0,0,3,3,0,154,502
20606113640,0,6,0,20,5,0,4,17,4,5,7,3,9,0,0,0,3,0,0,4,0,0,3,0,9,0,3,0,6,0,0,8,5,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,227
20606113641,4,3,0,33,16,0,3,37,13,8,12,8,16,0,0,6,9,0,4,0,6,0,5,3,5,0,4,0,8,0,6,0,8,0,4,0,5,11,4,0,0,4,5,5,0,0,0,0,0,0,0,4,4,117,374
20606113642,0,0,0,26,13,0,0,22,9,3,9,5,8,0,6,0,0,3,0,0,3,0,6,0,3,6,3,0,8,4,4,8,4,0,0,0,3,5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,94,275
20606113643,5,8,5,68,31,6,7,89,52,19,41,21,11,0,11,0,13,3,11,0,4,0,3,8,10,4,10,0,20,0,4,11,21,0,10,0,10,25,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,165,742
20606113644,4,6,0,26,13,3,11,40,8,10,8,9,7,0,3,0,0,0,6,0,7,0,0,9,10,0,9,0,7,4,6,0,3,0,4,0,6,10,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,82,318
20606113645,0,5,0,23,16,3,7,57,32,10,27,12,5,0,7,0,6,0,7,0,4,0,0,6,17,5,3,0,11,5,11,7,18,3,8,0,4,21,9,0,0,0,3,0,0,4,4,0,0,0,3,4,3,99,471
20606113801,0,7,0,20,13,0,0,24,14,9,23,4,13,0,4,5,4,0,3,0,3,0,0,4,4,0,3,0,9,0,0,3,9,0,3,0,8,10,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,139,351
20606113802,0,10,0,26,12,3,5,45,17,16,12,5,13,0,0,0,3,0,0,0,0,0,3,10,7,3,6,0,12,0,0,9,7,0,5,0,3,12,4,0,0,0,0,4,0,0,0,0,0,5,0,3,3,153,437
20606113803,0,4,0,18,12,5,5,22,4,0,11,4,12,0,0,0,4,0,0,0,4,0,0,4,5,0,4,0,3,0,0,5,3,0,5,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,137,301
20606113804,5,19,0,17,7,0,0,17,11,3,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,226,379
20606113805,3,8,0,29,8,0,0,24,13,3,30,0,10,0,0,0,6,0,0,0,0,0,0,4,3,0,4,0,12,0,6,4,7,0,4,0,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,398
20606113806,0,10,0,12,8,0,0,14,5,8,12,0,15,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,6,4,3,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,234
20606113807,4,8,0,13,9,0,0,25,0,3,19,5,11,0,0,3,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,5,3,0,3,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,286
20606113808,3,15,0,18,16,0,4,28,4,9,18,3,15,0,4,0,0,0,0,0,0,0,0,11,6,0,0,0,11,0,5,3,3,0,7,0,3,9,5,0,0,0,0,4,0,0,0,0,0,0,0,5,3,156,394
20606113809,0,8,0,24,5,0,0,16,4,6,20,5,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,4,0,0,0,0,5,3,4,0,0,0,0,0,0,6,3,0,0,0,0,5,0,188,320
20606113810,6,19,0,14,15,0,3,20,9,5,20,3,9,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,4,3,8,0,3,0,9,7,3,0,0,0,3,0,0,0,0,0,0,0,0,5,4,234,423
20606113811,9,17,0,14,11,0,0,31,6,0,16,0,12,0,3,0,0,0,0,0,0,0,0,3,0,0,9,0,4,0,8,0,3,0,0,0,17,8,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,164,356
20606113812,3,13,0,30,12,3,3,37,15,12,29,13,17,0,7,0,0,0,5,0,6,0,0,7,0,0,6,0,8,3,8,6,8,3,6,0,12,12,8,0,0,0,0,0,0,3,0,3,0,0,4,3,0,279,576
20606113813,0,10,0,20,8,0,0,38,13,7,18,5,4,0,0,0,5,0,0,0,0,0,0,0,10,4,0,0,6,0,3,3,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,435
20606113814,4,15,0,34,12,0,7,38,17,13,26,6,14,0,4,0,3,0,3,0,4,0,0,6,3,3,5,0,11,0,4,10,10,0,9,0,13,8,4,0,0,0,0,5,0,0,0,0,0,0,0,3,0,202,508
20606113815,0,8,0,19,14,0,4,26,8,12,10,4,8,0,4,0,0,0,0,0,0,0,0,3,4,0,4,0,6,0,4,3,3,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,205,373
20606113816,5,14,0,22,6,4,0,30,10,7,16,3,11,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,3,0,5,9,3,0,5,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,240,440
20606113817,7,12,0,18,7,0,9,39,12,4,14,0,9,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,8,0,3,9,6,4,6,0,12,7,0,0,0,0,3,0,0,0,0,0,0,6,0,10,0,177,398
20606113818,6,13,0,38,11,4,4,36,10,13,17,4,6,0,4,0,0,0,0,0,0,0,0,0,7,0,3,0,8,0,5,4,3,0,6,0,9,4,3,0,0,0,0,3,0,0,0,3,0,0,0,7,0,259,495
20606113819,7,10,0,22,7,0,0,22,18,6,24,5,10,0,7,0,0,0,4,0,4,0,0,7,3,0,0,0,9,0,5,6,6,0,3,0,9,5,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,214,421
20606113820,7,11,0,31,11,0,9,53,9,4,29,6,17,0,0,0,0,0,4,0,0,0,0,4,9,0,9,0,3,6,3,7,7,0,0,0,3,23,3,0,0,0,0,0,0,5,0,0,0,3,0,7,4,257,552
20606113821,4,10,0,15,10,0,0,23,0,5,16,5,13,0,3,0,3,0,0,0,3,0,0,3,0,0,7,0,0,0,3,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,208,378
20606113822,0,19,0,17,3,0,0,25,5,0,17,3,7,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,0,0,7,3,0,6,0,13,8,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,234,412
20606113823,0,19,4,33,17,3,9,42,16,10,21,13,23,0,3,0,0,0,3,0,0,0,0,6,9,0,5,0,12,5,8,0,4,0,7,0,13,18,9,0,0,0,0,3,0,0,0,0,0,0,0,5,0,306,636
20606113824,7,12,0,35,15,0,10,29,13,13,26,0,19,0,0,0,0,0,0,3,3,0,0,3,3,0,4,0,5,3,7,0,7,0,7,0,6,7,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,241,494
20606113825,8,16,0,32,11,4,5,28,11,8,16,9,11,0,8,0,4,0,0,0,3,0,0,4,5,0,11,0,8,3,4,6,5,0,7,0,11,10,4,0,0,0,3,0,0,4,0,0,0,0,0,4,0,238,493
20606113826,5,5,3,19,7,0,3,28,4,9,20,0,14,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,6,7,0,0,0,0,3,0,0,6,5,0,0,0,0,9,0,155,329
20606113827,3,3,0,27,9,0,3,43,10,0,15,8,6,0,0,0,0,0,5,0,7,0,0,9,3,0,4,0,0,6,9,4,3,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,218,426
20606113828,0,4,0,31,9,3,0,23,3,7,16,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,5,3,0,9,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,153,303
20606113829,3,7,0,29,11,0,4,30,9,6,28,0,11,0,0,0,0,0,0,0,0,0,5,3,3,0,3,0,10,0,0,3,5,0,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,200,403
20606113830,3,14,0,22,17,0,3,25,7,11,20,9,13,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,0,3,7,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,213,414
20606113831,0,5,3,23,3,0,6,29,9,11,15,3,10,0,0,0,0,0,7,0,3,0,0,0,6,0,3,0,6,3,4,0,3,0,3,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,152,343
20606113832,4,10,0,15,0,4,0,12,4,0,10,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,9,0,3,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,232
20606151501,3,3,0,15,11,3,11,36,19,11,11,3,13,0,0,0,0,0,4,0,0,0,0,7,0,0,5,0,7,3,0,4,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,304
20606151502,0,6,0,21,5,3,7,44,18,8,18,5,12,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,6,4,0,5,5,0,4,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,90,290
20606151503,4,10,3,27,5,0,8,43,9,15,16,15,13,0,0,0,0,4,0,0,3,0,0,3,13,4,3,0,10,0,0,6,0,3,8,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,162,422
20606151504,3,3,0,31,17,5,9,34,23,12,23,4,17,0,3,0,3,0,4,9,9,0,0,10,8,0,6,0,11,0,8,6,10,5,10,0,9,11,4,0,0,0,4,4,0,0,0,0,0,0,0,7,0,105,416
20606151505,5,7,0,40,20,3,5,78,28,18,29,18,8,0,5,0,5,0,4,0,6,0,0,7,14,0,5,0,8,4,3,7,4,0,4,0,7,6,4,0,0,0,0,0,0,4,0,0,0,0,0,6,0,140,511
20606151506,3,20,0,36,16,0,0,46,10,5,19,11,4,0,3,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,4,0,4,0,9,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,279,525
20606151507,5,17,0,78,21,4,5,91,42,12,38,18,25,0,7,0,0,6,0,0,3,0,0,8,5,0,7,0,16,0,7,8,4,0,6,0,15,16,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,195,673
20606151508,0,3,0,25,21,0,0,62,24,10,22,9,5,0,0,0,0,0,9,0,4,0,6,3,15,0,7,0,9,0,0,10,17,0,4,0,6,14,4,0,0,0,0,0,0,0,5,0,0,10,4,7,3,202,550
20606151509,3,10,0,20,8,4,9,41,22,12,24,11,18,0,0,0,0,0,3,0,3,0,0,5,12,0,4,3,3,7,7,11,0,0,8,0,7,10,4,0,0,0,4,0,0,0,5,0,0,0,0,5,3,162,441
20606151510,5,7,0,41,26,6,7,58,21,19,25,30,7,0,4,3,3,5,6,0,9,0,6,9,21,3,7,3,11,3,10,5,11,0,4,0,3,16,0,0,3,0,6,0,0,0,8,0,0,4,0,0,0,156,572
20606151511,0,3,0,23,10,0,3,54,14,13,17,7,15,0,6,0,0,4,9,0,4,0,0,6,14,0,0,0,10,4,0,7,8,0,10,0,10,4,0,0,0,0,5,0,0,5,0,0,0,3,0,0,0,85,370
20606151512,3,8,0,24,6,4,3,49,25,15,16,7,14,0,7,0,3,0,4,0,8,0,0,3,5,0,4,0,4,0,9,3,4,0,6,0,7,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,101,373
20606151513,4,12,0,61,27,3,13,84,30,15,23,29,19,0,3,0,3,6,10,0,0,0,0,4,6,0,9,0,10,5,7,9,7,0,10,0,11,21,7,0,0,0,3,0,0,0,0,0,0,0,0,5,4,221,692
20606151514,5,5,0,64,18,0,9,71,33,16,18,22,6,0,4,0,0,4,14,0,0,0,0,13,11,4,12,0,21,0,9,5,8,0,12,0,8,22,7,0,0,0,4,0,0,0,6,4,0,0,3,3,7,96,554
20606151515,0,4,0,39,15,0,9,60,18,14,21,22,16,0,6,0,6,0,9,3,0,0,3,7,12,5,9,0,4,0,9,3,7,0,8,0,3,9,0,0,0,0,0,4,0,0,0,0,0,4,0,8,0,130,480
20606151516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20606151517,5,6,0,46,11,4,8,62,37,14,19,17,7,0,5,4,8,0,5,0,3,0,0,7,11,4,3,0,6,4,3,11,4,0,4,0,4,18,4,0,0,0,0,4,0,3,4,0,0,4,0,3,4,149,519
20606151518,0,4,0,10,9,5,4,23,16,8,20,18,6,0,5,0,0,0,7,0,0,0,0,5,14,0,3,0,6,0,0,4,3,0,6,0,0,15,0,0,0,0,4,0,0,3,5,4,0,7,0,0,3,104,322
20606151519,3,5,0,41,16,3,11,71,30,20,30,19,19,0,10,0,10,3,6,4,8,0,5,3,15,0,5,0,12,0,3,11,11,0,11,0,3,19,3,0,4,0,5,0,0,0,4,0,0,5,4,3,0,191,623
20606151520,0,5,0,6,7,0,0,15,3,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,6,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,165
